Pozo,Fecha,Nivel
SNGM-PTA-0001,16-03-1998,1056.2
SNGM-PTA-0001,28-04-1998,1056.2
SNGM-PTA-0001,02-06-1998,1056.18
SNGM-PTA-0001,02-07-1998,1056.17
SNGM-PTA-0001,29-08-1998,1056.18
SNGM-PTA-0001,01-10-1998,1056.15
SNGM-PTA-0001,24-11-1998,1056.14
SNGM-PTA-0001,02-02-1999,1057.09
SNGM-PTA-0001,06-04-1999,1056.07
SNGM-PTA-0001,16-06-1999,1056.07
SNGM-PTA-0001,10-08-1999,1056.05
SNGM-PTA-0001,26-10-1999,1056.05
SNGM-PTA-0001,14-12-1999,1056.04
SNGM-PTA-0001,14-02-2000,1056.01
SNGM-PTA-0001,18-04-2000,1056.85
SNGM-PTA-0001,08-06-2000,1056.68
SNGM-PTA-0001,07-08-2000,1056.64
SNGM-PTA-0001,17-10-2000,1056.65
SNGM-PTA-0001,05-12-2000,1056.6
SNGM-PTA-0001,06-02-2001,1056.54
SNGM-PTA-0001,18-04-2001,1056.52
SNGM-PTA-0001,05-06-2001,1056.54
SNGM-PTA-0001,07-08-2001,1056.83
SNGM-PTA-0001,02-10-2001,1056.8
SNGM-PTA-0001,04-12-2001,1056.96
SNGM-PTA-0001,11-02-2002,1056.82
SNGM-PTA-0001,16-04-2002,1056.81
SNGM-PTA-0001,06-06-2002,1057.34
SNGM-PTA-0001,06-08-2002,1057.32
SNGM-PTA-0001,08-10-2002,1056.75
SNGM-PTA-0001,05-12-2002,1056.74
SNGM-PTA-0001,19-02-2003,1056.72
SNGM-PTA-0001,08-04-2003,1056.77
SNGM-PTA-0001,10-06-2003,1057.14
SNGM-PTA-0001,05-08-2003,1056.86
SNGM-PTA-0001,13-10-2003,1056.85
SNGM-PTA-0001,09-12-2003,1056.86
SNGM-PTA-0001,17-02-2004,1056.85
SNGM-PTA-0001,20-04-2004,1057.17
SNGM-PTA-0001,01-06-2004,1057.15
SNGM-PTA-0001,03-08-2004,1057.16
SNGM-PTA-0001,26-10-2004,1057.15
SNGM-PTA-0001,14-12-2004,1057.41
SNGM-PTA-0001,14-10-2005,1057.45
SNGM-PTA-0001,31-03-2006,1057.67
SNGM-PTA-0001,17-04-2006,1057.55
SNGM-PTA-0001,22-06-2006,1057.49
SNGM-PTA-0001,21-08-2006,1059.5
SNGM-PTA-0001,27-10-2006,1059.11
SNGM-PTA-0001,19-12-2006,1059.16
SNGM-PTA-0001,17-02-2007,1059.11
SNGM-PTA-0001,19-04-2007,1056.57
SNGM-PTA-0001,28-04-2008,1057.13
SNGM-PTA-0001,18-06-2008,1057.01
SNGM-PTA-0001,21-10-2008,1057.13
SNGM-PTA-0001,11-12-2008,1057.13
SNGM-PTA-0001,12-02-2009,1056.93
SNGM-PTA-0001,23-04-2009,1056.89
SNGM-PTA-0001,24-06-2009,1056.9
SNGM-PTA-0001,18-08-2009,1056.85
SNGM-PTA-0001,03-03-2010,1057.55
SNGM-PTA-0001,29-06-2010,1057.27
SNGM-PTA-0001,02-11-2010,1057.27
SNGM-PTA-0001,01-03-2011,1057.55
SNGM-PTA-0001,26-07-2011,1057.28
SNGM-PTA-0001,16-11-2011,1057.19
SNGM-PTA-0001,30-04-2012,1057.43
SNGM-PTA-0001,05-07-2012,1057.09
SNGM-PTA-0001,06-10-2012,1057.07
SNGM-PTA-0001,23-04-2013,1057.17
SNGM-PTA-0001,23-07-2013,1057.13
SNGM-PTA-0001,10-12-2013,1057.03
SNGM-PTA-0001,14-01-2014,1057.17
SNGM-PTA-0001,20-03-2014,1057.02
SNGM-PTA-0001,29-07-2014,1056.81
SNGM-PTA-0001,26-11-2014,1056.97
SNGM-PTA-0001,18-03-2015,1057.14
SNGM-PTA-0001,19-08-2015,1057.09
SNGM-PTA-0001,14-12-2015,1056.82
SNGM-PTA-0001,16-03-2016,1056.31
SNGM-PTA-0001,19-08-2016,1056.96
SNGM-PTA-0001,14-12-2016,1057.05
SNGM-PTA-0001,10-04-2017,1057.12
SNGM-PTA-0001,11-04-2018,1057.12
SNGM-PTA-0002,16-03-1998,1004.93
SNGM-PTA-0002,28-04-1998,1004.92
SNGM-PTA-0002,02-06-1998,1004.88
SNGM-PTA-0002,02-07-1998,1004.87
SNGM-PTA-0002,29-08-1998,1004.9
SNGM-PTA-0002,01-10-1998,1005.15
SNGM-PTA-0002,24-11-1998,1004.86
SNGM-PTA-0002,02-02-1999,1004.83
SNGM-PTA-0002,06-04-1999,1004.8
SNGM-PTA-0002,16-06-1999,1004.81
SNGM-PTA-0002,10-08-1999,1004.8
SNGM-PTA-0002,26-10-1999,1004.78
SNGM-PTA-0002,14-12-1999,1004.78
SNGM-PTA-0002,14-02-2000,1004.76
SNGM-PTA-0002,18-04-2000,1004.73
SNGM-PTA-0002,06-06-2000,1005.28
SNGM-PTA-0002,07-08-2000,1004.72
SNGM-PTA-0002,16-10-2000,1004.6
SNGM-PTA-0002,07-12-2000,1004.63
SNGM-PTA-0002,06-02-2001,1004.62
SNGM-PTA-0002,20-04-2001,1004.58
SNGM-PTA-0002,05-06-2001,1004.57
SNGM-PTA-0002,07-08-2001,1004.56
SNGM-PTA-0002,02-10-2001,1004.53
SNGM-PTA-0002,04-12-2001,1004.52
SNGM-PTA-0002,11-02-2002,1004.55
SNGM-PTA-0002,15-04-2002,1004.51
SNGM-PTA-0002,06-06-2002,1004.51
SNGM-PTA-0002,06-08-2002,1004.5
SNGM-PTA-0002,08-10-2002,1004.47
SNGM-PTA-0002,04-12-2002,1004.45
SNGM-PTA-0002,19-02-2003,1004.7
SNGM-PTA-0002,07-04-2003,1004.44
SNGM-PTA-0002,12-06-2003,1004.42
SNGM-PTA-0002,05-08-2003,1004.38
SNGM-PTA-0002,13-10-2003,1004.36
SNGM-PTA-0002,10-12-2003,1004.39
SNGM-PTA-0002,17-02-2004,1004.36
SNGM-PTA-0002,20-04-2004,1004.37
SNGM-PTA-0002,01-06-2004,1004.35
SNGM-PTA-0002,03-08-2004,1004.36
SNGM-PTA-0002,26-10-2004,1004.36
SNGM-PTA-0002,13-12-2004,1004.29
SNGM-PTA-0002,10-10-2005,1003.74
SNGM-PTA-0002,31-03-2006,1003.7
SNGM-PTA-0002,07-04-2006,1003.7
SNGM-PTA-0002,06-07-2006,1003.67
SNGM-PTA-0002,22-08-2006,1003.67
SNGM-PTA-0002,30-10-2006,1003.68
SNGM-PTA-0002,19-12-2006,1003.68
SNGM-PTA-0002,17-02-2007,1003.64
SNGM-PTA-0002,19-04-2007,1003.47
SNGM-PTA-0002,30-04-2008,1003.21
SNGM-PTA-0002,18-06-2008,1003.5
SNGM-PTA-0002,13-10-2008,1003.55
SNGM-PTA-0002,11-12-2008,1003.55
SNGM-PTA-0002,24-02-2009,1003.7
SNGM-PTA-0002,22-04-2009,1003.48
SNGM-PTA-0002,26-06-2009,1003.48
SNGM-PTA-0002,20-08-2009,1003.47
SNGM-PTA-0002,03-03-2010,1003.8
SNGM-PTA-0002,05-07-2010,1003.79
SNGM-PTA-0002,26-11-2010,1003.58
SNGM-PTA-0002,03-03-2011,1003.58
SNGM-PTA-0002,29-07-2011,1003.68
SNGM-PTA-0002,18-11-2011,1003.48
SNGM-PTA-0002,22-03-2012,1003.49
SNGM-PTA-0002,23-08-2012,1003.56
SNGM-PTA-0002,07-10-2012,1003.38
SNGM-PTA-0002,21-03-2013,1003.33
SNGM-PTA-0002,27-08-2013,1003.32
SNGM-PTA-0002,22-11-2013,1003.25
SNGM-PTA-0002,27-03-2014,1003.48
SNGM-PTA-0002,30-07-2014,1003.15
SNGM-PTA-0002,28-11-2014,1003.14
SNGM-PTA-0002,26-03-2015,1003.11
SNGM-PTA-0002,03-08-2015,1003.08
SNGM-PTA-0002,20-11-2015,1003.11
SNGM-PTA-0002,12-04-2016,1003.15
SNGM-PTA-0002,07-09-2016,1003.09
SNGM-PTA-0002,12-12-2016,1003.11
SNGM-PTA-0002,27-04-2017,1003.04
SNGM-PTA-0002,29-01-2018,1002.82
SNGM-PTA-0002,20-02-2018,1002.81
SNGM-PTA-0002,27-03-2018,1002.81
SNGM-PTA-0002,24-04-2018,1002.76
SNGM-PTA-0002,29-05-2018,1002.75
SNGM-PTA-0002,29-06-2018,1002.75
SNGM-PTA-0002,11-07-2018,1002.75
SNGM-PTA-0002,24-08-2018,1002.74
SNGM-PTA-0002,28-09-2018,1002.72
SNGM-PTA-0002,22-10-2018,1002.72
SNGM-PTA-0002,19-11-2018,1002.72
SNGM-PTA-0002,26-02-2019,1002.7
SNGM-PTA-0003,01-11-1993,987.27
SNGM-PTA-0003,17-03-1998,987.31
SNGM-PTA-0003,28-04-1998,987.29
SNGM-PTA-0003,02-06-1998,987.3
SNGM-PTA-0003,01-07-1998,987.28
SNGM-PTA-0003,29-08-1998,987.27
SNGM-PTA-0003,01-10-1998,987.24
SNGM-PTA-0003,24-11-1998,987.21
SNGM-PTA-0003,03-02-1999,987.19
SNGM-PTA-0003,17-06-1999,987.15
SNGM-PTA-0003,12-08-1999,987.14
SNGM-PTA-0003,28-10-1999,987.13
SNGM-PTA-0003,16-12-1999,987.11
SNGM-PTA-0003,16-02-2000,987.13
SNGM-PTA-0003,20-04-2000,987.06
SNGM-PTA-0003,08-06-2000,987.04
SNGM-PTA-0003,08-08-2000,987.04
SNGM-PTA-0003,20-10-2000,987.02
SNGM-PTA-0003,06-12-2000,987.05
SNGM-PTA-0003,07-02-2001,987.03
SNGM-PTA-0003,20-04-2001,986.98
SNGM-PTA-0003,07-06-2001,986.93
SNGM-PTA-0003,09-08-2001,986.94
SNGM-PTA-0003,04-10-2001,986.92
SNGM-PTA-0003,06-12-2001,986.9
SNGM-PTA-0003,13-02-2002,986.99
SNGM-PTA-0003,18-04-2002,986.85
SNGM-PTA-0003,05-06-2002,986.82
SNGM-PTA-0003,08-08-2002,986.81
SNGM-PTA-0003,10-10-2002,986.79
SNGM-PTA-0003,04-12-2002,986.75
SNGM-PTA-0003,17-02-2003,986.71
SNGM-PTA-0003,29-04-2003,986.7
SNGM-PTA-0003,12-06-2003,986.68
SNGM-PTA-0003,15-10-2003,986.65
SNGM-PTA-0003,11-12-2003,986.64
SNGM-PTA-0003,17-02-2004,986.63
SNGM-PTA-0003,22-04-2004,986.53
SNGM-PTA-0003,04-06-2004,986.51
SNGM-PTA-0003,05-08-2004,986.49
SNGM-PTA-0003,28-10-2004,986.47
SNGM-PTA-0003,16-12-2004,986.43
SNGM-PTA-0003,10-10-2005,985.81
SNGM-PTA-0003,21-03-2006,985.89
SNGM-PTA-0003,07-04-2006,985.85
SNGM-PTA-0003,19-06-2006,985.83
SNGM-PTA-0003,22-08-2006,985.65
SNGM-PTA-0003,19-12-2006,985.35
SNGM-PTA-0003,17-02-2007,985.59
SNGM-PTA-0003,18-04-2007,985.6
SNGM-PTA-0003,28-04-2008,985.35
SNGM-PTA-0003,16-06-2008,985.51
SNGM-PTA-0003,21-10-2008,985.3
SNGM-PTA-0003,09-12-2008,985.47
SNGM-PTA-0003,10-02-2009,985.44
SNGM-PTA-0003,21-04-2009,985.2
SNGM-PTA-0003,24-06-2009,985.18
SNGM-PTA-0003,19-08-2009,985.14
SNGM-PTA-0003,03-03-2010,985.45
SNGM-PTA-0003,30-06-2010,985.45
SNGM-PTA-0003,26-11-2010,985.2
SNGM-PTA-0003,16-03-2011,985.13
SNGM-PTA-0003,27-07-2011,985.09
SNGM-PTA-0003,18-11-2011,985.03
SNGM-PTA-0003,07-03-2012,985.03
SNGM-PTA-0003,10-07-2012,984.93
SNGM-PTA-0003,10-07-2012,984.93
SNGM-PTA-0003,07-10-2012,984.88
SNGM-PTA-0003,07-11-2012,984.88
SNGM-PTA-0003,24-04-2013,984.78
SNGM-PTA-0003,24-07-2013,984.69
SNGM-PTA-0003,21-11-2013,984.61
SNGM-PTA-0003,13-03-2014,984.61
SNGM-PTA-0003,25-07-2014,984.58
SNGM-PTA-0003,26-11-2014,984.53
SNGM-PTA-0003,18-03-2015,984.49
SNGM-PTA-0003,03-08-2015,984.43
SNGM-PTA-0003,20-11-2015,984.53
SNGM-PTA-0003,17-03-2016,984.47
SNGM-PTA-0003,21-07-2016,984.4
SNGM-PTA-0003,12-12-2016,984.35
SNGM-PTA-0003,27-04-2017,984.3
SNGM-PTA-0003,13-04-2018,984.17
SNGM-PTA-0003,22-10-2018,983.89
SNGM-PTA-0004,01-11-1993,959
SNGM-PTA-0004,16-03-1998,960.62
SNGM-PTA-0004,29-04-1998,960.63
SNGM-PTA-0004,03-06-1998,960.57
SNGM-PTA-0004,01-07-1998,960.82
SNGM-PTA-0004,29-08-1998,960.62
SNGM-PTA-0004,02-10-1998,964.6
SNGM-PTA-0004,24-11-1998,964.59
SNGM-PTA-0004,02-02-1999,964.97
SNGM-PTA-0004,06-04-1999,964.94
SNGM-PTA-0004,17-06-1999,964.95
SNGM-PTA-0004,12-08-1999,964.93
SNGM-PTA-0004,28-10-1999,964.97
SNGM-PTA-0004,16-12-1999,964.94
SNGM-PTA-0004,16-02-2000,964.93
SNGM-PTA-0004,19-04-2000,960.94
SNGM-PTA-0004,07-06-2000,960.81
SNGM-PTA-0004,08-08-2000,960.92
SNGM-PTA-0004,19-10-2000,961.03
SNGM-PTA-0004,07-12-2000,961.03
SNGM-PTA-0004,07-02-2001,961.07
SNGM-PTA-0004,19-04-2001,961.09
SNGM-PTA-0004,06-06-2001,961.09
SNGM-PTA-0004,08-08-2001,960.18
SNGM-PTA-0004,03-10-2001,960.4
SNGM-PTA-0004,05-12-2001,960.5
SNGM-PTA-0004,11-02-2002,960.75
SNGM-PTA-0004,17-04-2002,960.68
SNGM-PTA-0004,04-06-2002,960.78
SNGM-PTA-0004,07-08-2002,960.81
SNGM-PTA-0004,09-10-2002,960.98
SNGM-PTA-0004,03-12-2002,961.04
SNGM-PTA-0004,18-02-2003,961.1
SNGM-PTA-0004,09-04-2003,961.13
SNGM-PTA-0004,11-06-2003,961.17
SNGM-PTA-0004,06-08-2003,961.19
SNGM-PTA-0004,14-10-2003,961.2
SNGM-PTA-0004,10-12-2003,961.24
SNGM-PTA-0004,18-02-2004,961.23
SNGM-PTA-0004,21-04-2004,961.28
SNGM-PTA-0004,02-06-2004,961.3
SNGM-PTA-0004,05-08-2004,958.3
SNGM-PTA-0004,27-10-2004,961.08
SNGM-PTA-0004,15-12-2004,961.14
