ID;Pozo_DGA;Pozo;E;N;Tipo;Operador;Z;Profundidad;Info SNGM - Collar
1;Huara J-C;SNGM-PTA-0001;426484;7790032;Monitoreo;No Identificado;1115;209;Collar
2;Baquedano J-D;SNGM-PTA-0002;428240;7770096;Monitoreo;No Identificado;1059;210;Collar
3;La Tirana J-E;SNGM-PTA-0003;428123;7751673;Monitoreo;No Identificado;1011;250;Collar
4;Qda. Blanca J-F;SNGM-PTA-0004;447454;7708713;Monitoreo;No Identificado;1017;224;Collar
5;Soga J-3;SNGM-PTA-0006;413907;7815718;Monitoreo;No Identificado;1151;150;Collar
6;Aroma J-4;SNGM-PTA-0007;421750;7803821;Monitoreo;No Identificado;1174;150;Collar
7;Pozo Almonte J-5;SNGM-PTA-0008;427470;7760043;Monitoreo;No Identificado;1033;301.64;Collar
8;Canchones J-6;SNGM-PTA-0009;445634;7739234;Monitoreo;No Identificado;995;200;Collar
9;B. Junoy J-7;SNGM-PTA-0010;430539;7731736;Monitoreo;No Identificado;983;210;Collar
10;Pica  camino antiguo J-8;SNGM-PTA-0011;445894;7722691;Monitoreo;No Identificado;1020;210;Collar
11;Victoria J-9;SNGM-PTA-0012;438500;7705020;Monitoreo;No Identificado;974;172;Collar
12;Dupliza 1A;SNGM-PTA-0014;435692;7767166;Monitoreo;No Identificado;1067;107;Collar
13;Dupliza 494;SNGM-PTA-0015;435543;7766854;Monitoreo;No Identificado;1060.266;80;SNGM
14;Dupliza 493;SNGM-PTA-0016;435789;7766848;Monitoreo;No Identificado;1058.942;80;SNGM
15;Canchones D (659);SNGM-PTA-0018;446199;7739740;Bombeo;Aguas Nuevas;1002;98;Collar
16;Canchones F (1158);SNGM-PTA-0020;445620;7740134;Bombeo;Aguas Nuevas;1000;102;Collar
17;Canchones G;SNGM-PTA-0021;445666;7740207;Bombeo;Aguas Nuevas;999;96;Collar
18;Canchones I;SNGM-PTA-0022;446167;7739874;Bombeo;Aguas Nuevas;995;54;Collar
19;Canchones 1 (1519);SNGM-PTA-0023;445998;7740383;Bombeo;Aguas Nuevas;994;110;Collar
20;Canchones 2 (1520);SNGM-PTA-0024;445826;7740709;Bombeo;Aguas Nuevas;999;110;Collar
21;El Carmelo 17A;SNGM-PTA-0039;438746;7758202;Bombeo;Aguas Nuevas;1062.5;200;Collar
22;El Carmelo A;SNGM-PTA-0042;438505;7755762;Monitoreo;Aguas Nuevas;1030.527;200;SNGM
23;El Carmelo B;SNGM-PTA-0043;438354;7756747;Monitoreo;Aguas Nuevas;1032.068;108.6;SNGM
24;Loteo B (Sondaje N 1);SNGM-PTA-0044;431963;7760970;Monitoreo;No Identificado;1034.8;75;Collar
25;Cuminalla A (656);SNGM-PTA-0045;444419;7738413;Monitoreo;No Identificado;991;110;Collar
26;Cuminalla 493;SNGM-PTA-0048;443590;7737572;Bombeo;Aguas Nuevas;986.96;112;Collar
27;Cuminalla 495;SNGM-PTA-0049;442934;7736697;Bombeo;Aguas Nuevas;985.326;Sin informacion;SNGM
28;Sondaje La Tirana 1;SNGM-PTA-0050;432944;7748348;Monitoreo;No Identificado;1006;100.5;Collar
29;Sondaje La Tirana 2;SNGM-PTA-0051;432961;7748371;Monitoreo;No Identificado;1000.607;113.7;SNGM
30;Punta Dolores 4;SNGM-PTA-0056;401720;7824249;Monitoreo;No Identificado;1121.275;48;SNGM
31;Colonia Pintados  Pozo 5;SNGM-PTA-0063;439329;7718196;Monitoreo;No Identificado;981.432;Sin informacion;SNGM
32;Atacama Bio;SNGM-PTA-0064;433209;7744237;Monitoreo;No Identificado;990.741;Sin informacion;SNGM
33;Inmobiliaria Espana D;SNGM-PTA-0065;439890;7741232;Monitoreo;No Identificado;983.378;20;SNGM
34;Inmobiliaria Espana Noria;SNGM-PTA-0066;439930;7741181;Monitoreo;No Identificado;984.411;18;SNGM
35;Camping Tamarugal 1;SNGM-PTA-0068;441375;7740964;Monitoreo;No Identificado;983.651;Sin informacion;SNGM
36;Camping Tamarugal 2;SNGM-PTA-0069;441374;7740968;Monitoreo;No Identificado;983.664;15;SNGM
37;Pica-Matilla p040;SNGM-PTA-0071;463344;7732184;Monitoreo;No Identificado;1258.169;30.35;SNGM
38;Pica-Matilla p041;SNGM-PTA-0072;463345;7732182;Monitoreo;No Identificado;1263;115;Collar
39;Los Tangelos p064;SNGM-PTA-0073;462903;7733395;Monitoreo;No Identificado;1276.968;24.19;SNGM
40;Los Naranjos p063;SNGM-PTA-0074;462890;7733353;Monitoreo;No Identificado;1271.308;26.79;SNGM
41;Pozo La Fabrica 3;SNGM-PTA-0075;462921;7733317;Monitoreo;No Identificado;1271.257;Sin informacion;SNGM
42;La Calera Alto 1;SNGM-PTA-0080;458959;7748183;Monitoreo;No Identificado;1387.932;19.61;SNGM
43;La Calera Alto 2;SNGM-PTA-0081;459190;7747654;Monitoreo;No Identificado;1392.452;53.5;SNGM
44;La Calera 3 C-170;SNGM-PTA-0082;455170;7745879;Monitoreo;No Identificado;1101.489;21.85;SNGM
45;La Calera 2 C-171;SNGM-PTA-0083;453300;7744808;Monitoreo;No Identificado;1053.442;250;SNGM
46;Animita Victoria;SNGM-PTA-0094;431534;7706161;Monitoreo;No Identificado;973.87;6.4;Collar
47;Zanja;SNGM-PTA-0095;431693;7706235;Monitoreo;No Identificado;957;4.6;Collar
48;BRAC;SNGM-PTA-0098;430498;7710179;Monitoreo;No Identificado;963;52;Collar
49;BRAC 2P;SNGM-PTA-0099;430479;7710170;Monitoreo;No Identificado;958.126;Sin informacion;SNGM
50;PSA-1;SNGM-PTA-0100;443807;7703599;Monitoreo;No Identificado;992;42.66;Collar
51;PSA-2;SNGM-PTA-0101;443162;7712780;Monitoreo;No Identificado;997;42;Collar
52;PSA-3;SNGM-PTA-0102;442522;7731214;Monitoreo;No Identificado;994;32.31;Collar
53;Exoficina San Pablo;SNGM-PTA-0103;412074;7736920;Monitoreo;No Identificado;1008.051;31.62;SNGM
54;Victoria  Pique 8;SNGM-PTA-0107;424971;7711260;Monitoreo;No Identificado;965.58;6.5;Collar
55;10-S-1;SNGM-PTA-0109;426714;7711017;Monitoreo;No Identificado;960.692;7.95;SNGM
56;Exoficina Virginia E-0029;SNGM-PTA-0110;416955;7734803;Monitoreo;No Identificado;992.327;16.17;SNGM
57;Bellavista  Pique 2;SNGM-PTA-0113;437030;7703192;Monitoreo;No Identificado;965;17.05;Collar
