ID,Pozo_DGA,Pozo,E,N,Tipo,Operador
1,Huara J-C,SNGM-PTA-0001,426484,7790032,Monitoreo,DGA
2,Baquedano J-D,SNGM-PTA-0002,428240,7770096,Monitoreo,Aguas Nuevas
3,La Tirana J-E,SNGM-PTA-0003,428123,7751673,Monitoreo,DGA
4,Qda. Blanca J-F,SNGM-PTA-0004,447454,7708713,Monitoreo,Aguas Nuevas
5,Soga J-3,SNGM-PTA-0006,413907,7815718,Monitoreo,DGA
6,Aroma J-4,SNGM-PTA-0007,421750,7803821,Monitoreo,Aguas Nuevas
7,Pozo Almonte J-5,SNGM-PTA-0008,427470,7760043,Monitoreo,DGA
8,Canchones J-6,SNGM-PTA-0009,445634,7739234,Monitoreo,Aguas Nuevas
9,B. Junoy J-7,SNGM-PTA-0010,430539,7731736,Monitoreo,DGA
10,"Pica, camino antiguo J-8",SNGM-PTA-0011,445894,7722691,Monitoreo,Aguas Nuevas
11,Victoria J-9,SNGM-PTA-0012,438500,7705020,Monitoreo,DGA
12,Dupliza 1A,SNGM-PTA-0014,435692,7767166,Monitoreo,Aguas Nuevas
13,Dupliza 494,SNGM-PTA-0015,435543,7766854,Monitoreo,DGA
14,Dupliza 493,SNGM-PTA-0016,435789,7766848,Monitoreo,Aguas Nuevas
15,Canchones D (659),SNGM-PTA-0018,446199,7739740,Monitoreo,DGA
16,Canchones F (1158),SNGM-PTA-0020,445620,7740134,Monitoreo,Aguas Nuevas
17,Canchones G,SNGM-PTA-0021,445666,7740207,Monitoreo,DGA
18,Canchones I,SNGM-PTA-0022,446167,7739874,Monitoreo,Aguas Nuevas
19,Canchones 1 (1519),SNGM-PTA-0023,445998,7740383,Monitoreo,DGA
20,Canchones 2 (1520),SNGM-PTA-0024,445826,7740709,Monitoreo,Aguas Nuevas
21,El Carmelo 17A,SNGM-PTA-0039,438746,7758202,Monitoreo,DGA
22,El Carmelo A,SNGM-PTA-0042,438505,7755762,Monitoreo,Aguas Nuevas
23,El Carmelo B,SNGM-PTA-0043,438354,7756747,Monitoreo,DGA
24,Loteo B (Sondaje N°1),SNGM-PTA-0044,431963,7760970,Monitoreo,Aguas Nuevas
25,Cumiñalla A (656),SNGM-PTA-0045,444419,7738413,Monitoreo,DGA
26,Cumiñalla 493,SNGM-PTA-0048,443590,7737572,Monitoreo,Aguas Nuevas
27,Cumiñalla 495,SNGM-PTA-0049,442934,7736697,Monitoreo,DGA
28,Sondaje La Tirana 1,SNGM-PTA-0050,432944,7748348,Monitoreo,Aguas Nuevas
29,Sondaje La Tirana 2,SNGM-PTA-0051,432961,7748371,Monitoreo,DGA
